url;nombre_largo;sigla;grupo_portales;tipo_ambiente;ambiente_portal
https://www.gub.uy/defensoria-de-vecinas-y-vecinos-de-montevideo;Defensoría del Vecino de Montevideo;DEFENSORIA;Grupo 7;portal;produccion
https://www.gub.uy/fiscalia-general-nacion;Fiscalía General de la Nación;FGN;Grupo 7;portal;produccion
https://www1.gub.uy/fiscalia-general-nacion;Fiscalía General de la Nación;FGN;Grupo 7;portal;staging
https://www.gub.uy;Portal principal gub.uy;GUB;Grupo 7;portal;produccion
https://www1.gub.uy;Portal principal gub.uy (staging);GUB;Grupo 7;portal;staging
https://www.gub.uy/instituto-regulacion-control-cannabis;Instituto de Regulación y Control del Cannabis;IRCCA;Grupo 7;portal;produccion
https://www1.gub.uy/instituto-regulacion-control-cannabis;Instituto de Regulación y Control del Cannabis;IRCCA;Grupo 7;portal;staging
https://www.gub.uy/intendencia-florida;Intendencia de Florida;IF;Grupo 7;portal;produccion
https://www1.gub.uy/intendencia-florida;Intendencia de Florida;IF;Grupo 7;portal;staging
https://www1.gub.uy/mevir;Movimiento pro Erradicación de la Vivienda Insalubre Rural;MEVIR;Grupo 7;portal;staging
https://www.gub.uy/ministerio-ambiente;Ministerio de Ambiente;MA;Grupo 7;portal;produccion
https://www1.gub.uy/ministerio-ambiente;Ministerio de Ambiente;MA;Grupo 7;portal;staging
https://www.gub.uy/oficina-nacional-servicio-civil;Oficina Nacional del Servicio Civil;ONSC;Grupo 7;portal;produccion
https://www1.gub.uy/oficina-nacional-servicio-civil;Oficina Nacional del Servicio Civil;ONSC;Grupo 7;portal;staging
https://www.gub.uy/perfil;Portal de Perfil ciudadano;PERFIL.GUB.UY;Grupo 7;especial;produccion
https://www1.gub.uy/perfil;Portal de Perfil ciudadano;PERFIL.GUB.UY;Grupo 7;especial;staging
https://www.gub.uy/salud-mental-adolescente;Portal Salud Mental Adolescente;MINISITIO SALUD MENTAL;Grupo 7;portal;produccion
https://www1.gub.uy/secretaria-nacional-ciencia-valorizacion-conocimiento;Secretaría Nacional de Ciencia y Valorización del Conocimiento;SNCVC;Grupo 7;portal;staging
https://www.gub.uy/unidad-gestion-deuda;Unidad de Gestión de Deuda;UGD;Grupo 7;portal;produccion
https://www1.gub.uy/unidad-gestion-deuda;Unidad de Gestión de Deuda;UGD;Grupo 7;portal;staging
https://www.gub.uy/ventanilla-unica-inversiones;Ventanilla Única de Inversiones;VUI;Grupo 7;portal;produccion
https://www1.gub.uy/ventanilla-unica-inversiones;Ventanilla Única de Inversiones;VUI;Grupo 7;portal;staging
https://www.gub.uy/intranet/arce;Agencia Reguladora de Compras Estatales - Intranet;ARCE;Grupo 8;intranet;produccion
https://www1.gub.uy/intranet/arce;Agencia Reguladora de Compras Estatales - Intranet;ARCE;Grupo 8;intranet;staging
https://www.gub.uy/intranet/fgn;Fiscalía General de la Nación - Intranet;FGN;Grupo 8;intranet;produccion
https://www1.gub.uy/intranet/fgn;Fiscalía General de la Nación - Intranet;FGN;Grupo 8;intranet;staging
https://www.gub.uy/intranet/ma;Ministerio de Ambiente - Intranet;MA;Grupo 8;intranet;produccion
https://www1.gub.uy/intranet/ma;Ministerio de Ambiente - Intranet;MA;Grupo 8;intranet;staging
https://www1.gub.uy/intranet/mec;Ministerio de Educación y Cultura - Intranet;MEC;Grupo 8;intranet;staging
https://www.gub.uy/intranet/mgap;Ministerio de Ganadería, Agricultura y Pesca - Intranet;MGAP;Grupo 8;intranet;produccion
https://www1.gub.uy/intranet/mgap;Ministerio de Ganadería, Agricultura y Pesca - Intranet;MGAP;Grupo 8;intranet;staging
https://www.gub.uy/intranet/mides;Ministerio de Desarrollo Social - Intranet;MIDES;Grupo 8;intranet;produccion
https://www1.gub.uy/intranet/mides;Ministerio de Desarrollo Social - Intranet;MIDES;Grupo 8;intranet;staging
https://www.gub.uy/intranet/miem;Ministerio de Industria, Energía y Minería - Intranet;MIEM;Grupo 8;intranet;produccion
https://www1.gub.uy/intranet/miem;Ministerio de Industria, Energía y Minería - Intranet;MIEM;Grupo 8;intranet;staging
https://www1.gub.uy/intranet/mintur;Ministerio de Turismo - Intranet;MINTUR;Grupo 8;intranet;staging
https://www1.gub.uy/intranet/mrree;Ministerio de Relaciones Exteriores - Intranet;MRREE;Grupo 8;intranet;staging
https://www.gub.uy/intranet/msp;Ministerio de Salud Pública - Intranet;MSP;Grupo 8;intranet;produccion
https://www1.gub.uy/intranet/msp;Ministerio de Salud Pública - Intranet;MSP;Grupo 8;intranet;staging
https://www.gub.uy/intranet/mtop;Ministerio de Transporte y Obras Públicas - Intranet;MTOP;Grupo 8;intranet;produccion
https://www1.gub.uy/intranet/mtop;Ministerio de Transporte y Obras Públicas - Intranet;MTOP;Grupo 8;intranet;staging
https://www.gub.uy/intranet/mtss;Ministerio de Trabajo y Seguridad Social - Intranet;MTSS;Grupo 8;intranet;produccion
https://www1.gub.uy/intranet/mtss;Ministerio de Trabajo y Seguridad Social - Intranet;MTSS;Grupo 8;intranet;staging
https://www.gub.uy/intranet/mvot;Ministerio de Vivienda y Ordenamiento Territorial - Intranet;MVOT;Grupo 8;intranet;produccion
https://www1.gub.uy/intranet/mvot;Ministerio de Vivienda y Ordenamiento Territorial - Intranet;MVOT;Grupo 8;intranet;staging
https://www.gub.uy/intranet/presidencia;Presidencia de la República - Intranet;PR;Grupo 8;intranet;produccion
https://www1.gub.uy/intranet/presidencia;Presidencia de la República - Intranet;PR;Grupo 8;intranet;staging
